University,UG/PG,Fee
Imperial College London,PG,39409.90691489362
Imperial College London,UG,40905.859375
King's College London,PG,28735.224576271186
King's College London,UG,30895.922535211266
London School of Economics,PG,30865.90163934426
London School of Economics,UG,26925.14285714286
Queen Mary University of London,PG,24670.860927152316
Queen Mary University of London,UG,25570.57877813505
Queen's University Belfast,PG,21183.87162162162
Queen's University Belfast,UG,22912.814479638007
University College London,PG,33214.40380952381
University College London,UG,30482.470588235294
University of Birmingham,PG,31091.555555555555
University of Birmingham,UG,24962.213438735176
University of Bristol,PG,29581.472222222223
University of Bristol,UG,27961.71617161716
University of Cambridge,PG,34721.44736842105
University of Cambridge,UG,33178.05882352941
University of Cardiff,PG,24697.346368715083
University of Cardiff,UG,24151.04887218045
University of Durham,PG,26371.653543307086
University of Durham,UG,27801.327433628318
University of Edinburgh,PG,20643.429521276597
University of Edinburgh,UG,29158.20105820106
University of Exeter,PG,26384.81781376518
University of Exeter,UG,26283.39483394834
University of Glasgow,PG,27432.52032520325
University of Glasgow,UG,27093.5593220339
University of Leeds,PG,22921.25704225352
University of Leeds,UG,27331.439393939392
University of Liverpool,PG,25303.939393939392
University of Liverpool,UG,26042.780748663103
University of Manchester,PG,28117.182724252492
University of Manchester,UG,28386.22129436326
University of Newcastle,PG,25418.728323699423
University of Newcastle,UG,26362.008196721312
University of Nottingham,PG,25050.099173553717
University of Nottingham,UG,25587.058823529413
University of Oxford,PG,29548.214574898786
University of Oxford,UG,41768.51063829787
University of Sheffield,PG,26466.869346733667
University of Sheffield,UG,27051.627906976744
University of Southampton,PG,25904.866666666665
University of Southampton,UG,24600.782122905028
University of Warwick,PG,27757.832258064514
University of Warwick,UG,28296.548223350255
University of York,PG,23924.88
University of York,UG,26217.991631799163
