,UKPRN,HE Provider,Title,Subtitle,Reference ID,Data source,Data source link,Date,Region of HE provider,Level of study,Mode of study,Academic year,Country,Headcount,University,University name - HESA,PG,UG,Fee_PG_PT,Financial Exposure
0,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,UK,1945,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,48036338.687150836
1,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,UK,2565,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,31674346.717877094
2,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,All undergraduate,Full-time,2021/22,UK,19100,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,484264583.3333334
3,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Egypt,5,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,123486.73184357541
4,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Ghana,15,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,370460.1955307262
5,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Kenya,15,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,370460.1955307262
6,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Morocco,5,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,123486.73184357541
7,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Nigeria,50,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,1234867.3184357542
8,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Full-time,2021/22,Tanzania,5,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,123486.73184357541
9,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,Ghana,5,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,61743.36592178771
10,10007814,Cardiff University,Table 28 - Non-UK HE students by HE provider and country of domicile,Academic years 2014/15 to 2021/22,DT051 Table 28,HESA,https://www.hesa.ac.uk/data-and-analysis/students/table-28,2023,All,Postgraduate (taught),Part-time,2021/22,Kenya,5,Cardiff University,Cardiff University,24697.346368715083,25354.166666666668,12348.673184357542,61743.36592178771
