University,Course Name, Fee,UG/PG
Imperial College London,Business MRes,No fee - fully funded,PG
Imperial College London,Innovation Design Engineering MA/MSc,40900,PG
Imperial College London,Aeronautics with Spacecraft Engineering MEng,"£40,940",UG
Imperial College London,Advanced Aeronautical Engineering MSc,"£40,900",PG
Imperial College London,"Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction MSc","£40,900",PG
Imperial College London,"Composites: The Science, Technology and Engineering Application of Advanced Composites MSc","£40,900",PG
Imperial College London,Biomedical Technology Ventures BSc,"£40,940",UG
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MEng,"£40,940",UG
Imperial College London,Computing (Visual Computing and Robotics) MEng,"£40,940",UG
Imperial College London,"Economics, Finance and Data Science BSc","£39,100",UG
Imperial College London,Applied Computational Science and Engineering MSc,"£41,750",PG
Imperial College London,Applied Machine Learning MSc,"£41,750",PG
Imperial College London,Artificial Intelligence MSc,"£41,750",PG
Imperial College London,Artificial Intelligence and Machine Learning MRes,"£45,150",PG
Imperial College London,Artificial Intelligence Applications and Innovation MSc,"£39,000",PG
Imperial College London,Biomedical Research (Data Science) MRes,"£43,250",PG
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MSc,"£41,750",PG
Imperial College London,Computing (Visual Computing and Robotics) MSc,"£41,750",PG
Imperial College London,Digital Chemistry with AI and Automation,"£40,500",PG
Imperial College London,Environmental Data Science and Machine Learning MSc,"£41,750",PG
Imperial College London,Environmental Engineering with Data Science MSc,"£40,900",PG
Imperial College London,Geo-Energy with Machine Learning and Data Science MSc,"£41,750",PG
Imperial College London,Health Data Analytics and Machine Learning MSc,"£43,250",PG
Imperial College London,Human and Biological Robotics MSc,"£40,900",PG
Imperial College London,Machine Learning and Data Science (Online) MSc,"£17,175",PG
Imperial College London,Nanomedicine and Nanodiagnostics MRes,"£40,500",PG
Imperial College London,Statistics (Data Science) MSc,"£34,350",PG
Imperial College London,Transport with Data Science MSc,"£40,900",PG
Imperial College London,Machine Learning and Data Science (Online) MSc,"£17,175",PG
Imperial College London,Biochemistry BSc,"£41,650",UG
Imperial College London,Biochemistry with a Language for Science BSc,"£41,650",UG
Imperial College London,Biochemistry with Management BSc,"£41,650",UG
Imperial College London,Biomaterials and Tissue Engineering MEng,"£40,940",UG
Imperial College London,Biomedical Technology Ventures BSc,"£40,940",UG
Imperial College London,Biotechnology BSc,"£41,650",UG
Imperial College London,Biotechnology with a Language for Science BSc,"£41,650",UG
Imperial College London,Biotechnology with Management BSc,"£41,650",UG
Imperial College London,Molecular Bioengineering MEng,"£40,940",UG
Imperial College London,Applied Biosciences and Biotechnology MSc,"£37,100",PG
Imperial College London,Biological and Physical Chemistry MRes,"£40,500",PG
Imperial College London,Cancer Technology MRes,"£40,900",PG
Imperial College London,Chemical Biology and Bio-Entrepreneurship MRes,"£40,500",PG
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,"£40,500",PG
Imperial College London,Engineering for Biomedicine MSc,"£40,900",PG
Imperial College London,Biomedical Engineering MEng,"£40,940",UG
Imperial College London,Biomedical Technology Ventures BSc,"£40,940",UG
Imperial College London,Molecular Bioengineering MEng,"£40,940",UG
Imperial College London,Bioengineering MRes,"£40,900",PG
Imperial College London,Biomedical Engineering (Biomaterials) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Computational Bioengineering) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Medical Physics) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Neurotechnology) MSc,"£40,900",PG
Imperial College London,Cancer Technology MRes,"£40,900",PG
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,"£40,500",PG
Imperial College London,Engineering for Biomedicine MSc,"£40,900",PG
Imperial College London,Human and Biological Robotics MSc,"£40,900",PG
Imperial College London,Machine Learning and Big Data in the Physical Sciences MRes,"£40,800",PG
Imperial College London,Medical Device Design and Entrepreneurship MRes,"£40,900",PG
Imperial College London,Medical Robotics and Image-Guided Intervention MRes,"£43,250",PG
Imperial College London,Medical Robotics and Image-Guided Intervention MRes €“ Clinical Robotics and AI,"£43,250",PG
Imperial College London,Neurotechnology MRes,"£40,900",PG
Imperial College London,Soft Electronic Materials MRes,"£40,800",PG
Imperial College London,Biological Sciences BSc,"£41,650",UG
Imperial College London,Biological Sciences with a Language for Science BSc,"£41,650",UG
Imperial College London,Biological Sciences with Management BSc,"£41,650",UG
Imperial College London,Ecology and Environmental Biology BSc,"£41,650",UG
Imperial College London,Microbiology BSc,"£41,650",UG
Imperial College London,Molecular Bioengineering MEng,"£40,940",UG
Imperial College London,Bioinformatics and Theoretical Systems Biology MRes,"£37,100",PG
Imperial College London,Biomedical Research (Bacterial Pathogenesis and Infection) MRes,"£43,250",PG
Imperial College London,Biosystematics MRes,"£30,600",PG
Imperial College London,Cancer Technology MRes,"£40,900",PG
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,"£40,500",PG
Imperial College London,Engineering for Biomedicine MSc,"£40,900",PG
Imperial College London,Immunology,"£43,250",PG
Imperial College London,Molecular and Cellular Biosciences MRes,"£37,100",PG
Imperial College London,Structural Biology MRes,"£37,100",PG
Imperial College London,Systems and Synthetic Biology MRes,"£37,100",PG
Imperial College London,Biomedical Technology Ventures BSc,"£40,940",UG
Imperial College London,Medical Biosciences BSc,"£37,900",UG
Imperial College London,Medical Biosciences with Management BSc,"£37,900",UG
Imperial College London,Molecular Bioengineering MEng,"£40,940",UG
Imperial College London,Applied Genomics MSc,"£43,250",PG
Imperial College London,Biomedical Engineering (Biomaterials) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Computational Bioengineering) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Medical Physics) MSc,"£40,900",PG
Imperial College London,Biomedical Engineering (Neurotechnology) MSc,"£40,900",PG
Imperial College London,"Biomedical Research (Anaesthetics, Pain Medicine and Intensive Care) MRes","£43,250",PG
Imperial College London,Biomedical Research (Data Science) MRes,"£43,250",PG
Imperial College London,"Biomedical Research (Epidemiology, Evolution and Control of Infectious Diseases) MRes","£43,250",PG
Imperial College London,Biomedical Research MRes,"£43,250",PG
Imperial College London,Biomedical Research (Microbiome in Health and Disease) MRes,"£43,250",PG
Imperial College London,Biomedical Research (Molecular Basis of Human Disease) MRes,"£43,250",PG
Imperial College London,Biomedical Research (Respiratory and Cardiovascular Science) MRes,"£43,250",PG
Imperial College London,Cancer Biology MRes,"£43,250",PG
Imperial College London,Cancer Informatics MRes,"£43,250",PG
Imperial College London,Cancer Innovation MRes,"£43,250",PG
Imperial College London,Engineering for Biomedicine MSc,"£40,900",PG
Imperial College London,Experimental Neuroscience MRes,"£43,250",PG
Imperial College London,"Genes, Drugs and Stem Cells €“ Novel Therapies","£43,250",PG
Imperial College London,Genomic Medicine,"£43,250",PG
Imperial College London,Human Molecular Genetics MSc,"£43,250",PG
Imperial College London,Immunology,"£43,250",PG
Imperial College London,Machine Learning and Big Data in the Physical Sciences MRes,"£40,800",PG
Imperial College London,Medical Device Design and Entrepreneurship MRes,"£40,900",PG
Imperial College London,Molecular Biology and Pathology of Viruses MSc,"£43,250",PG
Imperial College London,Molecular Medicine MSc,"£43,250",PG
Imperial College London,Neurotechnology MRes,"£40,900",PG
Imperial College London,Reproductive and Developmental Biology,"£43,250",PG
Imperial College London,Statistics (Biostatistics) MSc,"£34,350",PG
Imperial College London,Translational Neuroscience MSc,"£43,250",PG
Imperial College London,Biochemistry with Management BSc,"£41,650",UG
