,University,Country,Financial Exposure
0,Cardiff University,Australia,188514.19925512106
1,Cardiff University,Austria,126770.83333333334
2,Cardiff University,Azerbaijan,126770.83333333334
3,Cardiff University,Bahrain,380312.5
4,Cardiff University,Bangladesh,1117948.7895716946
5,Cardiff University,Belgium,253541.6666666667
6,Cardiff University,Bermuda,126770.83333333334
7,Cardiff University,Brunei,630570.0651769087
8,Cardiff University,Bulgaria,1137653.398510242
9,Cardiff University,Canada,809231.9599627561
10,Cardiff University,Cayman Islands,126770.83333333334
11,Cardiff University,China,66013499.185288645
12,Cardiff University,Cyprus (European Union),2844133.4962756056
13,Cardiff University,Czech Republic,377028.3985102421
14,Cardiff University,Denmark,126770.83333333334
15,Cardiff University,Egypt,377028.3985102421
16,Cardiff University,European Union not otherwise specified,61743.36592178771
17,Cardiff University,Finland,126770.83333333334
18,Cardiff University,France,1514681.7970204842
19,Cardiff University,Germany,1007598.4636871509
20,Cardiff University,Ghana,432203.5614525139
21,Cardiff University,Gibraltar,377028.3985102421
22,Cardiff University,Greece,2011912.8258845438
23,Cardiff University,Hong Kong (SAR),6546105.912476723
24,Cardiff University,Hungary,377028.3985102421
25,Cardiff University,India,20925741.969273742
26,Cardiff University,Indonesia,624001.8621973929
28,Cardiff University,Iran,500515.1303538175
29,Cardiff University,Iraq,246973.46368715083
30,Cardiff University,Ireland,1820114.5251396648
31,Cardiff University,Israel,126770.83333333334
32,Cardiff University,Italy,942570.9962756053
33,Cardiff University,Japan,250257.56517690874
34,Cardiff University,Jordan,754056.7970204842
35,Cardiff University,Kazakhstan,250257.56517690874
36,Cardiff University,Kenya,1573141.061452514
37,Cardiff University,Korea (South),377028.3985102421
38,Cardiff University,Kuwait,2382373.02141527
39,Cardiff University,Latvia,126770.83333333334
40,Cardiff University,Lebanon,373744.29702048417
41,Cardiff University,Lithuania,253541.6666666667
42,Cardiff University,Luxembourg,253541.6666666667
43,Cardiff University,Macao (Special Administrative Region of China),126770.83333333334
44,Cardiff University,Malaysia,9263468.575418994
45,Cardiff University,Malta,370460.1955307262
46,Cardiff University,Mauritius,126770.83333333334
47,Cardiff University,Mexico,126770.83333333334
48,Cardiff University,Morocco,250257.56517690874
49,Cardiff University,Myanmar (Burma),123486.73184357541
50,Cardiff University,Nepal,126770.83333333334
51,Cardiff University,Netherlands,377028.3985102421
52,Cardiff University,Nigeria,1927180.7495344505
53,Cardiff University,Norway,630570.0651769087
