University,Course Name,Fee,UG/PG
Imperial College London,Innovation Design Engineering MA/MSc,40900.0,PG
Imperial College London,Aeronautics with Spacecraft Engineering MEng,40940.0,UG
Imperial College London,Advanced Aeronautical Engineering MSc,40900.0,PG
Imperial College London,"Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction MSc",40900.0,PG
Imperial College London,"Composites: The Science, Technology and Engineering Application of Advanced Composites MSc",40900.0,PG
Imperial College London,Biomedical Technology Ventures BSc,40940.0,UG
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MEng,40940.0,UG
Imperial College London,Computing (Visual Computing and Robotics) MEng,40940.0,UG
Imperial College London,Applied Computational Science and Engineering MSc,41750.0,PG
Imperial College London,Applied Machine Learning MSc,41750.0,PG
Imperial College London,Artificial Intelligence MSc,41750.0,PG
Imperial College London,Artificial Intelligence and Machine Learning MRes,45150.0,PG
Imperial College London,Biomedical Research (Data Science) MRes,43250.0,PG
Imperial College London,Computing (Artificial Intelligence and Machine Learning) MSc,41750.0,PG
Imperial College London,Computing (Visual Computing and Robotics) MSc,41750.0,PG
Imperial College London,Digital Chemistry with AI and Automation,40500.0,PG
Imperial College London,Environmental Data Science and Machine Learning MSc,41750.0,PG
Imperial College London,Environmental Engineering with Data Science MSc,40900.0,PG
Imperial College London,Geo-Energy with Machine Learning and Data Science MSc,41750.0,PG
Imperial College London,Health Data Analytics and Machine Learning MSc,43250.0,PG
Imperial College London,Human and Biological Robotics MSc,40900.0,PG
Imperial College London,Nanomedicine and Nanodiagnostics MRes,40500.0,PG
Imperial College London,Transport with Data Science MSc,40900.0,PG
Imperial College London,Biochemistry BSc,41650.0,UG
Imperial College London,Biochemistry with a Language for Science BSc,41650.0,UG
Imperial College London,Biochemistry with Management BSc,41650.0,UG
Imperial College London,Biomaterials and Tissue Engineering MEng,40940.0,UG
Imperial College London,Biomedical Technology Ventures BSc,40940.0,UG
Imperial College London,Biotechnology BSc,41650.0,UG
Imperial College London,Biotechnology with a Language for Science BSc,41650.0,UG
Imperial College London,Biotechnology with Management BSc,41650.0,UG
Imperial College London,Molecular Bioengineering MEng,40940.0,UG
Imperial College London,Biological and Physical Chemistry MRes,40500.0,PG
Imperial College London,Cancer Technology MRes,40900.0,PG
Imperial College London,Chemical Biology and Bio-Entrepreneurship MRes,40500.0,PG
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,40500.0,PG
Imperial College London,Engineering for Biomedicine MSc,40900.0,PG
Imperial College London,Biomedical Engineering MEng,40940.0,UG
Imperial College London,Biomedical Technology Ventures BSc,40940.0,UG
Imperial College London,Molecular Bioengineering MEng,40940.0,UG
Imperial College London,Bioengineering MRes,40900.0,PG
Imperial College London,Biomedical Engineering (Biomaterials) MSc,40900.0,PG
Imperial College London,Biomedical Engineering (Biomechanics and Mechanobiology) MSc,40900.0,PG
Imperial College London,Biomedical Engineering (Computational Bioengineering) MSc,40900.0,PG
Imperial College London,Biomedical Engineering (Medical Physics) MSc,40900.0,PG
Imperial College London,Biomedical Engineering (Neurotechnology) MSc,40900.0,PG
Imperial College London,Cancer Technology MRes,40900.0,PG
Imperial College London,Drug Discovery and Development: Multidisciplinary Science for Next Generation Therapeutics MRes,40500.0,PG
Imperial College London,Engineering for Biomedicine MSc,40900.0,PG
Imperial College London,Human and Biological Robotics MSc,40900.0,PG
Imperial College London,Machine Learning and Big Data in the Physical Sciences MRes,40800.0,PG
Imperial College London,Medical Device Design and Entrepreneurship MRes,40900.0,PG
